,date,code
374,2012-07-19,600000
375,2012-07-20,600000
376,2012-07-23,600000
377,2012-07-24,600000
378,2012-07-25,600000
379,2012-07-26,600000
380,2012-07-27,600000
381,2012-07-30,600000
382,2012-07-31,600000
383,2012-08-01,600000
384,2012-08-02,600000
385,2012-08-03,600000
386,2012-08-06,600000
387,2012-08-07,600000
388,2012-08-08,600000
389,2012-08-09,600000
390,2012-08-10,600000
391,2012-08-13,600000
392,2012-08-14,600000
393,2012-08-15,600000
394,2012-08-16,600000
395,2012-08-17,600000
396,2012-08-20,600000
397,2012-08-21,600000
398,2012-08-22,600000
399,2012-08-23,600000
400,2012-08-24,600000
401,2012-08-27,600000
402,2012-08-28,600000
403,2012-08-29,600000
404,2012-08-30,600000
405,2012-08-31,600000
406,2012-09-03,600000
407,2012-09-04,600000
408,2012-09-05,600000
409,2012-09-06,600000
410,2012-09-07,600000
411,2012-09-10,600000
412,2012-09-11,600000
413,2012-09-12,600000
414,2012-09-13,600000
415,2012-09-14,600000
416,2012-09-17,600000
417,2012-09-18,600000
418,2012-09-19,600000
419,2012-09-20,600000
420,2012-09-21,600000
421,2012-09-24,600000
422,2012-09-25,600000
423,2012-09-26,600000
424,2012-09-27,600000
425,2012-09-28,600000
426,2012-10-08,600000
427,2012-10-09,600000
428,2012-10-10,600000
429,2012-10-11,600000
430,2012-10-12,600000
431,2012-10-15,600000
432,2012-10-16,600000
433,2012-10-17,600000
434,2012-10-18,600000
435,2012-10-19,600000
436,2012-10-22,600000
437,2012-10-23,600000
438,2012-10-24,600000
439,2012-10-25,600000
440,2012-10-26,600000
441,2012-10-29,600000
442,2012-10-30,600000
443,2012-10-31,600000
444,2012-11-01,600000
445,2012-11-02,600000
446,2012-11-05,600000
447,2012-11-06,600000
448,2012-11-07,600000
449,2012-11-08,600000
450,2012-11-09,600000
451,2012-11-12,600000
452,2012-11-13,600000
453,2012-11-14,600000
454,2012-11-15,600000
455,2012-11-16,600000
456,2012-11-19,600000
457,2012-11-20,600000
458,2012-11-21,600000
459,2012-11-22,600000
460,2012-11-23,600000
461,2012-11-26,600000
462,2012-11-27,600000
463,2012-11-28,600000
464,2012-11-29,600000
465,2012-11-30,600000
466,2012-12-03,600000
467,2012-12-04,600000
468,2012-12-05,600000
469,2012-12-06,600000
470,2012-12-07,600000
471,2012-12-10,600000
472,2012-12-11,600000
473,2012-12-12,600000
474,2012-12-13,600000
475,2012-12-14,600000
476,2012-12-17,601818
477,2012-12-18,601818
478,2012-12-19,601818
479,2012-12-20,601328
480,2012-12-21,601818
481,2012-12-24,601818
482,2012-12-25,601818
483,2012-12-26,601818
484,2012-12-27,601818
485,2012-12-28,601818
486,2012-12-31,601818
487,2013-01-04,601818
488,2013-01-07,601818
489,2013-01-08,601818
490,2013-01-09,601818
491,2013-01-10,601818
492,2013-01-11,601818
493,2013-01-14,601818
494,2013-01-15,601818
495,2013-01-16,601818
496,2013-01-17,601818
497,2013-01-18,601818
498,2013-01-21,601818
499,2013-01-22,601818
500,2013-01-23,601328
501,2013-01-24,601328
502,2013-01-25,601328
503,2013-01-28,601328
504,2013-01-29,601328
505,2013-01-30,601328
506,2013-01-31,601818
507,2013-02-01,601818
508,2013-02-04,601328
509,2013-02-05,601328
510,2013-02-06,601328
511,2013-02-07,601328
512,2013-02-08,601328
513,2013-02-18,601328
514,2013-02-19,601328
515,2013-02-20,601328
516,2013-02-21,601328
517,2013-02-22,601328
518,2013-02-25,601328
519,2013-02-26,601328
520,2013-02-27,601328
521,2013-02-28,601328
522,2013-03-01,601328
523,2013-03-04,601328
524,2013-03-05,601328
525,2013-03-06,601328
526,2013-03-07,601328
527,2013-03-08,601328
528,2013-03-11,601328
529,2013-03-12,601328
530,2013-03-13,601328
531,2013-03-14,601328
532,2013-03-15,601328
533,2013-03-18,601328
534,2013-03-19,601328
535,2013-03-20,601328
536,2013-03-21,601328
537,2013-03-22,601328
538,2013-03-25,601328
539,2013-03-26,601328
540,2013-03-27,601328
541,2013-03-28,601328
542,2013-03-29,601328
543,2013-04-01,601328
544,2013-04-02,601328
545,2013-04-03,601328
546,2013-04-08,601328
547,2013-04-09,601328
548,2013-04-10,601328
549,2013-04-11,601328
550,2013-04-12,601328
551,2013-04-15,601328
552,2013-04-16,601328
553,2013-04-17,601328
554,2013-04-18,601328
555,2013-04-19,601328
556,2013-04-22,601328
557,2013-04-23,601328
558,2013-04-24,601328
559,2013-04-25,601328
560,2013-04-26,601328
561,2013-05-02,601328
562,2013-05-03,601818
563,2013-05-06,601818
564,2013-05-07,601818
565,2013-05-08,601818
566,2013-05-09,601818
567,2013-05-10,601818
568,2013-05-13,601818
569,2013-05-14,601818
570,2013-05-15,601818
571,2013-05-16,601818
572,2013-05-17,601818
573,2013-05-20,601818
574,2013-05-21,601818
575,2013-05-22,601818
576,2013-05-23,601818
577,2013-05-24,601818
578,2013-05-27,601818
579,2013-05-28,601818
580,2013-05-29,601818
581,2013-05-30,601818
582,2013-05-31,601818
583,2013-06-03,601818
584,2013-06-04,601818
585,2013-06-05,601818
586,2013-06-06,601818
587,2013-06-07,601818
588,2013-06-13,601818
589,2013-06-14,601818
590,2013-06-17,601818
591,2013-06-18,601818
592,2013-06-19,601818
593,2013-06-20,000001
594,2013-06-21,000001
595,2013-06-24,000001
596,2013-06-25,000001
597,2013-06-26,000001
598,2013-06-27,000001
599,2013-06-28,000001
600,2013-07-01,000001
601,2013-07-02,000001
602,2013-07-03,000001
603,2013-07-04,000001
604,2013-07-05,000001
605,2013-07-08,000001
606,2013-07-09,000001
607,2013-07-10,000001
608,2013-07-11,000001
609,2013-07-12,000001
610,2013-07-15,000001
611,2013-07-16,000001
612,2013-07-17,000001
613,2013-07-18,000001
614,2013-07-19,000001
615,2013-07-22,000001
616,2013-07-23,000001
617,2013-07-24,000001
618,2013-07-25,000001
619,2013-07-26,000001
620,2013-07-29,000001
621,2013-07-30,600015
622,2013-07-31,000001
623,2013-08-01,600015
624,2013-08-02,000001
625,2013-08-05,000001
626,2013-08-06,000001
627,2013-08-07,000001
628,2013-08-08,000001
629,2013-08-09,000001
630,2013-08-12,000001
631,2013-08-13,000001
632,2013-08-14,000001
633,2013-08-15,000001
634,2013-08-16,000001
635,2013-08-19,600015
636,2013-08-20,600015
637,2013-08-21,600015
638,2013-08-22,600015
639,2013-08-23,600015
640,2013-08-26,600015
641,2013-08-27,600015
642,2013-08-28,000001
643,2013-08-29,000001
644,2013-08-30,000001
645,2013-09-02,601166
646,2013-09-03,601166
647,2013-09-04,601166
648,2013-09-05,601166
649,2013-09-06,601166
650,2013-09-09,601166
651,2013-09-10,601166
652,2013-09-11,601166
653,2013-09-12,601166
654,2013-09-13,601166
655,2013-09-16,601166
656,2013-09-17,601166
657,2013-09-18,601166
658,2013-09-23,601166
659,2013-09-24,601166
660,2013-09-25,601166
661,2013-09-26,601166
662,2013-09-27,601166
663,2013-09-30,601166
664,2013-10-08,601166
665,2013-10-09,601166
666,2013-10-10,601166
667,2013-10-11,601166
